" JWST June 2021 Working Commissioning Timeline ",,,,,,,,
,,,,,,,,
"Cooldown Profile: BPlot_All_metrics_LA13B_v5.5t18d-C_PH_V4_CC state4 at 82 days.xlsx",,,,,,,,
"CAR #",,"CAR Title"," MET Start",,"Duration",,"MET End",
"72",335,"Power ON side A of DEU / DUC",1.00,"day",0.08,"hr",1.00,"day"
"20",335,"Release SC LRM GRP-04A, HGA Boom HGA BOOM, Group = 1",1.00,"day",0.25,"hr",1.01,"day"
"284",,"Gimbaled Antenna Assembly to Park Position",1.03,"day",0.51,"hr",1.05,"day"
"911.01",,"Enable Sunline Rotation",1.06,"day",0.08,"hr",1.06,"day"
"871",,"Background Collection of OTE Temp & Strain gauge Tlm during Deployments",1.07,"day",0.33,"hr",1.08,"day"
"914",,"SMSS In-board Hinge Motor Heating ",1.09,"day",28.00,"hr",2.25,"day"
"283",,"Configure for MGA Operations",1.09,"day",0.65,"hr",1.12,"day"
"31",,"Comm Reconfiguration",1.13,"day",0.12,"hr",1.13,"day"
"891.06",,"Alarm Limit Transition #6 (Post MGA Activation)",1.13,"day",0.03,"hr",1.13,"day"
"848",,"Load IRSU CCH Parameter Set 2",1.14,"day",0.50,"hr",1.16,"day"
"879",,"Check SS Motor Telemetry Prior to +5 deg pitch",2.08,"day",0.42,"hr",2.10,"day"
"912.01",,"Disable Sunline Rotation",2.11,"day",0.55,"hr",2.13,"day"
"922",,"Enable Active Pointing of MGA",2.29,"day",0.42,"hr",2.31,"day"
"21",,"MCC-1b (burn at L+2.5d)",2.33,"day",5.10,"hr",2.55,"day"
"911.02",,"Enable Sunline Rotation",2.55,"day",0.42,"hr",2.57,"day"
"9.1",,"ICDH Power On and Initialization (Part 1)",2.70,"day",1.12,"hr",2.75,"day"
"845.1",,"OSS Engine Activation and Initialization (Part 1)",2.75,"day",0.73,"hr",2.78,"day"
"756.1","NRS-33","NIRSpec MSA Heater Activation during Cooldown",2.79,"day",0.65,"hr",2.82,"day"
"912.02",,"Disable Sunline Rotation",2.83,"day",0.55,"hr",2.85,"day"
"253",,"Perform attitude maneuver to +5 deg pitch attitude and hold during UPS FWD Deployment",2.85,"day",0.25,"hr",2.87,"day"
"538",,"Set ACS Control System Gains for Deployments",2.87,"day",0.25,"hr",2.88,"day"
"687","HEADER","Sunshield Fwd UPS Deployment Operations",3.00,"day",2.10,"hr",3.09,"day"
"285",687,"Release FWD UPS MRD and LRMs",3.00,"day",1.53,"hr",3.06,"day"
"722",687,"Release SS MRD GRP-01A/B, Pre-FWD UPS PRE-UPS, FWD SC BUS -J3 SIDE OF +J3 PANEL, Group = 4",3.00,"day",0.40,"hr",3.02,"day"
"721",687,"Release SS MRD GRP-02A/B, Pre-FWD UPS PRE-UPS, FWD OUTER 4-BAR -J3 SIDE oF 4-BAR PANEL, Group = 5",3.02,"day",0.40,"hr",3.04,"day"
"723",687,"Release SS LRM GRP-01A/B, Pre-FWD UPS LRM 1 & 2 (Fwd UPS Bipod Pair), +J1 / ±J2 UPS Bipod, Group = 2",3.05,"day",0.40,"hr",3.06,"day"
"24",687,"Sunshield FWD UPS Deployment",3.07,"day",0.40,"hr",3.09,"day"
"891.07",,"Alarm Limit Transition #7 (Post FWD UPS Deployment)",3.09,"day",0.08,"hr",3.09,"day"
"255",,"Perform attitude maneuver to -20 pitch for all remaining deployments",3.09,"day",1.00,"hr",3.14,"day"
"256",,"DTA Deployment Motor Heating",3.16,"day",21.00,"hr",4.03,"day"
"688","HEADER","Sunshield AFT UPS Deployment Operations",3.16,"day",2.67,"hr",3.27,"day"
"728",688,"Release AFT UPS MRD and LRMs",3.16,"day",2.10,"hr",3.24,"day"
"555",688,"Release SS MRD GRP-03A/B. Pre-AFT UPS PRE-UPS, AFT SC BUS -J3 SIDE OF +J3 PANEL, Group = 4",3.16,"day",0.40,"hr",3.17,"day"
"556",688,"Release SS MRD GRP-04A/B. Pre-AFT UPS PRE-UPS, AFT FIXED 4-BAR -J3 SIDE OF 4-BAR PANEL, Group = 5",3.18,"day",0.40,"hr",3.20,"day"
"557",688,"Release SS MRD GRP-05A/B. Pre-AFT UPS PRE-UPS, OUTER 4-BAR -J3 SIDE OF 4-BAR PANEL, group = 5",3.20,"day",0.40,"hr",3.22,"day"
"558",688,"Release SS LRM GRP-02A/B. Pre-AFT UPS LRM 3 & 4, AFT -J1 / ±J2 UPS BIPOD, Group = 2",3.23,"day",0.40,"hr",3.24,"day"
"262",688,"Sunshield Aft UPS Deployment",3.25,"day",0.40,"hr",3.27,"day"
"891.08",,"Alarm Limit Transition #8 (Post AFT UPS Deployment)",3.27,"day",0.08,"hr",3.27,"day"
"911.03",,"Enable Sunline Rotation",3.28,"day",0.42,"hr",3.30,"day"
"9.2",,"ICDH power On and initialization (pt 2: Loads & Verification)",3.50,"day",1.88,"hr",3.58,"day"
"845.2",,"OSS Engine Activation and Initialization (pt 2: Loads & Verification)",3.59,"day",3.60,"hr",3.74,"day"
"912.03",,"Disable Sunline Rotation",3.99,"day",0.55,"hr",4.01,"day"
"571",,"DTA Deployment, DTA Sync move - set the motor phase",4.00,"day",0.08,"hr",4.00,"day"
"337","HEADER","Release MBA Spreader Bar to OTE LRMs",4.03,"day",4.03,"hr",4.20,"day"
"559",337,"Release SS LRM GRP-03A/B, Pre-DTA Deploy +J2 MID-BOOM SPREADER BAR HOLD-DOWN LRM, Group = 1",4.03,"day",0.25,"hr",4.04,"day"
"560",337,"Release SS LRM GRP-04A/B, Pre-DTA Deploy -J2 MID-BOOM SPREADER BAR HOLD-DOWN LRM, Group = 1",4.05,"day",0.25,"hr",4.06,"day"
"539",337,"Release OTE LRM GRP-01A/B, DTA WIRE HARNESS TRAY LRM, GRP = 1",4.07,"day",0.25,"hr",4.08,"day"
"733",337,"Release IEC-SC LRMs",4.10,"day",0.75,"hr",4.13,"day"
"730",337,"Release SC LRM GRP-05A/B, Pre-DTA Deploy	 +J2 IEC - S/C, Group = 1	",4.10,"day",0.25,"hr",4.11,"day"
"731",337,"Release SC LRM GRP-06A/B, Pre-DTA Deploy	 -J2 IEC - S/C, Group = 1	",4.12,"day",0.25,"hr",4.13,"day"
"551",337,"Release BSF-SC LRMs (3/4 inch)",4.16,"day",1.00,"hr",4.20,"day"
"565",337,"Release SC LRM GRP-07A/B, Pre-DTA Deploy +J1/+J2 BSF - S/C (3/4 inch), Group = 1",4.16,"day",0.12,"hr",4.17,"day"
"568",337,"Release SC LRM GRP-010A/10B, Pre-DTA Deploy +J1/-J2 BSF - S/C  (3/4 inch), Group = 1",4.17,"day",0.13,"hr",4.18,"day"
"567",337,"Release SC LRM GRP-09A/B, Pre-DTA Deploy -J1/-J2 BSF - S/C  (3/4 inch), Group = 1",4.18,"day",0.13,"hr",4.19,"day"
"566",337,"Release SC LRM GRP-08A/B, Pre-DTA Deploy -J1/+J2 BSF - S/C  (3/4 inch), Group = 1",4.20,"day",0.13,"hr",4.20,"day"
"689","HEADER","DTA Deployment Operations",4.20,"day",6.87,"hr",4.49,"day"
"572",689,"DTA Deployment, Relax Preload & Drive Thru Backlast (1/5) & Verify Tower Motion & LRM Separation (2/5)",4.21,"day",0.33,"hr",4.22,"day"
"573",689,"DTA Deployment, Bulk Tower Deploy Part 1 (3/5)",4.23,"day",2.52,"hr",4.33,"day"
"574",689,"DTA Deployment, Bulk Tower Deploy Part 2 (4/5)",4.34,"day",2.52,"hr",4.44,"day"
"575",689,"DTA Deployment, Set Deployment Preload (5/5)",4.45,"day",0.33,"hr",4.47,"day"
"576",689,"Disable DTA Thermal Control Command DTA Deployment TCL to Manual, Turn OFF Deployment motor heaters",4.47,"day",0.08,"hr",4.48,"day"
"577",689,"Terminate ADU DTA temperature retrieval SCS",4.48,"day",0.08,"hr",4.49,"day"
"545",,"Release CJAA / IEC +V3 LRM ",4.49,"day",0.25,"hr",4.50,"day"
"911.04",,"Enable Sunline Rotation",4.51,"day",0.42,"hr",4.53,"day"
"288",,"SS UPS Relay TCLs",4.53,"day",0.25,"hr",4.55,"day"
"891.09",,"Alarm Limit Transition #9 (Post DTA Deployment)",4.55,"day",0.08,"hr",4.55,"day"
"756.2","NRS-33","NIRSpec MSA Heater Adjustment #1 during Cooldown",4.56,"day",0.30,"hr",4.57,"day"
"912.04",,"Disable Sunline Rotation",4.97,"day",0.55,"hr",5.00,"day"
"279","HEADER","CCA Release",5.00,"day",0.83,"hr",5.03,"day"
"579",279,"Release SC LRM GRP-19A/B, Cryocooler Support CC SPT ASSY +J1, SCLRM29, Group = 1",5.00,"day",0.17,"hr",5.01,"day"
"580",279,"Release SC LRM GRP-17A/B, Cryocooler Support CC SPT ASSY -J1 / -J2, SCLRM27, Group = 1",5.01,"day",0.17,"hr",5.02,"day"
"581",279,"Release SC LRM GRP-18A/B, Cryocooler Support CC SPT ASSY -J1 / +J2, SCLRM28, Group = 1",5.03,"day",0.17,"hr",5.03,"day"
"298",,"Release Aft Momentum Flap",5.05,"day",0.50,"hr",5.07,"day"
"880",,"Motor Flinch Move Prior to SS Membrane Cover Release",5.08,"day",2.00,"hr",5.16,"day"
"289","HEADER","Release Sunshield Membrane Covers Up To Edges",5.17,"day",5.00,"hr",5.38,"day"
"582",289,"Release SS MRD GRP-06A/B, Membrane Release NON-LADDER SMSS, AFT UPS -J3 SIDE, Group = 3",5.17,"day",0.25,"hr",5.18,"day"
"583",289,"Release SS MRD GRP-07A/B, Membrane Release NON-LADDER +J2 TIP, AFT UPS -J3 SIDE, Group = 4",5.18,"day",0.25,"hr",5.19,"day"
"584",289,"Release SS MRD GRP-08A/B, Membrane Release NON-LADDER -J2 TIP, AFT UPS -J3 SIDE, Group = 4",5.19,"day",0.25,"hr",5.20,"day"
"585",289,"Release SS MRD GRP-09A/B, Membrane Release LADDER ASSEMBLY LOWER, AFT UPS -J3 SIDE, Group = 5",5.20,"day",0.25,"hr",5.21,"day"
"586",289,"Release SS MRD GRP-10A/B, Membrane Release LADDER ASSEMBLY UPPER, AFT UPS -J3 SIDE, Group = 5",5.21,"day",0.25,"hr",5.22,"day"
"587",289,"Release SS MRD GRP-11A/B, Membrane Release CENTER ROW, AFT UPS -J3 SIDE, Group = 5",5.22,"day",0.25,"hr",5.23,"day"
"588",289,"Release SS MRD GRP-12A/B, Membrane Release -J2 MID ROW, AFT UPS -J3 SIDE, Group = 5",5.23,"day",0.25,"hr",5.24,"day"
"589",289,"Release SS MRD GRP-13A/B, Membrane Release -J2 EDGE ROW, AFT UPS -J3 SIDE, Group = 5",5.24,"day",0.25,"hr",5.25,"day"
"590",289,"Release SS MRD GRP-14A/B, Membrane Release +J2 MID ROW, AFT UPS -J3 SIDE, Group = 5",5.25,"day",0.25,"hr",5.26,"day"
"591",289,"Release SS MRD GRP-15A/B, Membrane Release +J2 EDGE ROW, AFT UPS -J3 SIDE, Group = 5",5.26,"day",0.25,"hr",5.27,"day"
"592",289,"Release SS MRD GRP-16A/B, Membrane Release NON-LADDER AOS BAFFLE, FWD UPS -J3 SIDE, Group = 5",5.27,"day",0.25,"hr",5.28,"day"
"593",289,"Release SS MRD GRP-17A/B, Membrane Release NON-LADDER UPPER, FWD UPS -J3 SIDE, Group = 5",5.28,"day",0.25,"hr",5.29,"day"
"594",289,"Release SS MRD GRP-18A/B, Membrane Release LADDER ASSEMBLY, FWD UPS -J3 SIDE, Group = 5",5.29,"day",0.25,"hr",5.30,"day"
"595",289,"Release SS MRD GRP-19A/B, Membrane Release CENTER ROW, FWD UPS -J3 SIDE, Group = 5",5.30,"day",0.25,"hr",5.31,"day"
"596",289,"Release SS MRD GRP-20A/B, Membrane Release -J2 MID ROW, FWD UPS -J3 SIDE, Group = 5",5.31,"day",0.25,"hr",5.32,"day"
"597",289,"Release SS MRD GRP-21A/B, Membrane Release -J2 EDGE ROW, FWD UPS -J3 SIDE, Group = 5",5.32,"day",0.25,"hr",5.33,"day"
"598",289,"Release SS MRD GRP-22A/B, Membrane Release +J2 MID ROW, FWD UPS -J3 SIDE, Group = 5",5.33,"day",0.25,"hr",5.35,"day"
"599",289,"Release SS MRD GRP-23A/B, Membrane Release +J2 EDGE ROW, FWD UPS -J3 SIDE, Group = 5",5.35,"day",0.25,"hr",5.36,"day"
"600",289,"Release SS MRD GRP-24A/B, Membrane Release -J2 CORE COVER RESTRAINT GROUP, +J3/-J2 SIDE OF +J3 PANEL, Group = 2",5.36,"day",0.25,"hr",5.37,"day"
"601",289,"Release SS MRD GRP-25A/B, Membrane Release +J2 CORE COVER RESTRAINT GROUP, +J3/+J2 SIDE OF +J3 PANEL, Group = 2",5.37,"day",0.25,"hr",5.38,"day"
"911.05",,"Enable Sunline Rotation",5.38,"day",0.42,"hr",5.40,"day"
"756.3","NRS-33","NIRSpec MSA Heater Adjustment #2 during Cooldown",5.75,"day",0.30,"hr",5.76,"day"
"912.05",,"Disable Sunline Rotation",5.97,"day",0.55,"hr",6.00,"day"
"724","HEADER","Sunshield +J2 Midboom Operations",6.00,"day",5.00,"hr",6.21,"day"
"290",724,"   Release SS LRM GRP-06A/B, MID-BOOM TO SB/MTS LRM, (+J2/+J1, +J2/-J1, +J2/+J3), GRP = 3",6.00,"day",0.25,"hr",6.01,"day"
"546",724,"   Release DRSA-H (+J2)",6.02,"day",0.58,"hr",6.04,"day"
"602",724,"Release SS MRD GRP-29A/B, +J1/+J2 HORIZONTAL RADIATOR SHADE MRD, Group = 1",6.02,"day",0.25,"hr",6.03,"day"
"603",724,"Release SS MRD GRP-31A/B, -J1/+J2 HORIZONTAL RADIATOR SHADE MRD, Group = 1",6.03,"day",0.25,"hr",6.05,"day"
"25",724,"   Sunshield Pushout +J2 Midboom",6.05,"day",2.33,"hr",6.15,"day"
"291",724,"   Sunshield +J2 Midboom Stem Reel-in",6.16,"day",0.33,"hr",6.17,"day"
"725","HEADER","Sunshield -J2 Midboom Operations",6.23,"day",4.17,"hr",6.40,"day"
"292",725,"Release SS LRM GRP-05A/B, MID-BOOM TO SB/MTS LRM, (-J2/-J1, -J2/+J1, -J2/+J3), GRP = 3",6.23,"day",0.25,"hr",6.24,"day"
"547",725,"Release DRSA-H (-J2)",6.25,"day",0.10,"hr",6.25,"day"
"604",725,"Release SS MRD GRP-30A/B, +J1/-J2 HORIZONTAL RADIATOR SHADE MRD, Group = 1",6.25,"day",0.25,"hr",6.26,"day"
"605",725,"Release SS MRD GRP-32A/B, -J1/-J2 HORIZONTAL RADIATOR SHADE MRD, Group = 1",6.27,"day",0.25,"hr",6.28,"day"
"293",725,"Sunshield Pushout -J2 Midboom",6.28,"day",2.33,"hr",6.38,"day"
"294",725,"Sunshield -J2 Midboom Stem Reel-in",6.39,"day",0.33,"hr",6.40,"day"
"891.10",,"Alarm Limit Transition #10 (Post Midboom Deploy)",6.40,"day",0.08,"hr",6.40,"day"
"911.06",,"Enable Sunline Rotation",6.41,"day",0.42,"hr",6.43,"day"
"912.06",,"Disable Sunline Rotation",6.97,"day",0.55,"hr",7.00,"day"
"908",,"Midboom Snubber Release Motor Moves",7.00,"day",1.15,"hr",7.05,"day"
"295","HEADER","Sunshield Rim LRM Release",7.05,"day",0.50,"hr",7.08,"day"
"606",295,"Release SS LRM GRP-07A/B, RIM/PLATEN RIM/PLATEN HOLD-DOWN LRM, LRM-13&14, Group = 2",7.05,"day",0.25,"hr",7.07,"day"
"607",295,"Release SS LRM GRP-08A/B, RIM/PLATEN RIM/PLATEN HOLD-DOWN LRM, LRM-15 to 19,  Group = 5",7.07,"day",0.25,"hr",7.08,"day"
"909","HEADER","Cable Brake LRM Release + Initial MTS Reel In",7.08,"day",0.50,"hr",7.10,"day"
"608",909,"Release SS MRD GRP-26A/B, Cable Brake +J1 / ±J2 SPREADER BAR CABLE RESTRAINT (FWD CABLE BRAKE PAIR), MRD-26, Group = 2",7.08,"day",0.25,"hr",7.09,"day"
"609",909,"Release SS MRD GRP-27A/B, Cable Brake -J1 / ±J2 SPREADER BAR CABLE RESTRAINT (AFT CABLE BRAKE PAIR), MRD-27, Group = 2",7.09,"day",0.25,"hr",7.10,"day"
"610","HEADER","Membrane Tension Layer 1",7.11,"day",2.80,"hr",7.23,"day"
"296",610,"Sunshield Membrane Tensioning Sequence",7.11,"day",28.30,"hr",8.29,"day"
"611",610,"Membrane Tension Layer 1: (-J2 MTS) Motor #7",7.11,"day",0.10,"hr",7.11,"day"
"612",610,"Membrane Tension Layer 1: (Fwd MTS Pair) Motor #10, #11",7.12,"day",1.00,"hr",7.16,"day"
"613",610,"Membrane Tension Layer 1: (Aft MTS Pair) Motor #8, #9",7.17,"day",1.17,"hr",7.22,"day"
"911.07",,"Enable Sunline Rotation",7.23,"day",0.42,"hr",7.24,"day"
"756.4","NRS-33","NIRSpec MSA Heater Adjustment #3 during Cooldown",7.50,"day",0.30,"hr",7.51,"day"
"912.07",,"Disable Sunline Rotation",7.97,"day",0.55,"hr",8.00,"day"
"614","HEADER","Membrane Tension Layer 2",8.00,"day",1.70,"hr",8.07,"day"
"615",614,"Membrane Tension Layer 2: -J2 MTS Motor #7",8.00,"day",0.10,"hr",8.00,"day"
"616",614,"Membrane Tension Layer 2: +/-J2 Fwd UPS MTS Pair Motor #10, #11",8.01,"day",0.42,"hr",8.03,"day"
"617",614,"Membrane Tension Layer 2: +/-J2 Aft UPS MTS Pair Motor #8, #9",8.04,"day",0.58,"hr",8.06,"day"
"618","HEADER","Membrane Tension Layer 3",8.08,"day",1.70,"hr",8.15,"day"
"619",618,"Membrane Tension Layer 3: -J2 MTS Motor #7",8.08,"day",0.10,"hr",8.08,"day"
"620",618,"Membrane Tension Layer 3: +/-J2 Fwd UPS MTS Pair Motor #10, #11",8.09,"day",0.42,"hr",8.11,"day"
"621",618,"Membrane Tension Layer 3: +/-J2 Aft UPS MTS Pair Motor #8, #9",8.12,"day",0.58,"hr",8.14,"day"
"622","HEADER","Membrane Tension Layer 4",8.16,"day",1.70,"hr",8.23,"day"
"623",622,"Membrane Tension Layer 4: -J2 MTS Motor #7",8.16,"day",0.10,"hr",8.16,"day"
"624",622,"Membrane Tension Layer 4: +/-J2 Fwd UPS MTS Pair Motor #10, #11",8.17,"day",0.42,"hr",8.19,"day"
"625",622,"Membrane Tension Layer 4: +/-J2 Aft UPS MTS Pair Motor #8, #9",8.20,"day",0.58,"hr",8.22,"day"
"626","HEADER","Membrane Tension Layer 5",8.23,"day",1.70,"hr",8.30,"day"
"627",626,"Membrane Tension Layer 5: -J2 MTS Motor #7",8.23,"day",0.10,"hr",8.23,"day"
"628",626,"Membrane Tension Layer 5: +/-J2 Fwd UPS MTS Pair Motor #10, #11 ",8.24,"day",0.42,"hr",8.26,"day"
"629",626,"Membrane Tension Layer 5: +/-J2 Aft UPS MTS Pair Motor #8, #9 ",8.27,"day",0.58,"hr",8.29,"day"
"891.11",,"Alarm Limit Transition #11 (Post SS Membrane Deploy)",8.30,"day",0.08,"hr",8.31,"day"
"297",,"Sunshield Disable MTS Gearmotor heaters",8.31,"day",0.08,"hr",8.32,"day"
"299",,"Power OFF Sunshield heaters",8.33,"day",0.02,"hr",8.33,"day"
"911.08",,"Enable Sunline Rotation",8.33,"day",0.42,"hr",8.35,"day"
"912.08",,"Disable Sunline Rotation",8.97,"day",0.55,"hr",8.99,"day"
"26","HEADER","DRSA-V Deployment",9.00,"day",0.75,"hr",9.03,"day"
"553",26,"Release SC LRM GRP-15A/B, Vertical Radiator Shade +J1/+J2 VERTICAL RADIATOR SHADE LRM, Group = 2",9.00,"day",0.25,"hr",9.01,"day"
"554",26,"Release SC LRM GRP-16A/B, Vertical Radiator Shade +J1/-J2 VERTICAL RADIATOR SHADE LRM, Group = 2",9.02,"day",0.25,"hr",9.03,"day"
"252",,"Release SC LRM GRP-03A/B, STSA STAR TRACKER SUPPORT STRUCTURE UPPER LAUNCH LOCK STA RADIATOR Group = 3 ",9.04,"day",0.02,"hr",9.04,"day"
"257",,"SMSS Deployment Motor Heating",9.05,"day",21.00,"hr",9.92,"day"
"911.09",,"Enable Sunline Rotation",9.06,"day",0.42,"hr",9.08,"day"
"61",,"Cryocooler Power ON and Transition to State 2 (Internal Decontamination)",9.09,"day",2.92,"hr",9.21,"day"
"18.1",,"MIRI ICE Power ON and Initialization",9.22,"day",0.28,"hr",9.23,"day"
"764.1","MIR-71","MIRI ICE Warm Basic Functional Test",9.23,"day",0.63,"hr",9.26,"day"
"19","MIR-42.1","MIRI CCC Unlock and Opening",9.27,"day",0.20,"hr",9.28,"day"
"866",,"MIRI ICE Power OFF",9.28,"day",0.27,"hr",9.29,"day"
"912.09",,"Disable Sunline Rotation",9.91,"day",0.55,"hr",9.93,"day"
"691","HEADER","SMSS Deployment Operations",9.92,"day",7.24,"hr",10.23,"day"
"878",691,"Synch Mid-hinge Latch Stepper Motor & Flinch move for Inboard Hinge",9.92,"day",1.00,"hr",9.97,"day"
"28",691,"Release SMSS LRMs",10.00,"day",0.72,"hr",10.03,"day"
"632",691,"Release OTE LRM GRP-03A/B, SMSS (PMBA SIDE) SMSS TO +V2 DUAL LRM",10.00,"day",0.25,"hr",10.01,"day"
"633",691,"Release OTE LRM GRP-05A/B, , SMSS (PMBA SIDE) SMSS TO SINGLE STRUT LRM, Group = 1",10.02,"day",0.25,"hr",10.03,"day"
"300",691,"SMSS First motion",10.03,"day",0.25,"hr",10.05,"day"
"301",691,"SMSS Deployment",10.05,"day",1.00,"hr",10.09,"day"
"302",691,"SMSS Latch Bulk move",10.10,"day",1.00,"hr",10.14,"day"
